PIXEL,WAVELENGTH,LEAF,GRAY,WHITE,BG
443,1214.8,16.0000,16.0000,16.0000,16.0000
444,1217.0,16.0000,16.0000,15.9711,16.3769
445,1219.2,16.0000,16.0000,16.0000,16.0000
446,1221.4,16.0000,16.0000,16.0000,16.0000
447,1223.6,16.0000,16.0000,16.0000,16.0000
448,1225.8,16.0000,16.0000,15.9991,16.0115
449,1228.0,16.0000,16.0000,16.0000,16.0000
450,1230.2,16.0000,16.0000,15.9997,16.0038
451,1232.4,16.0000,16.0000,16.0000,16.0000
452,1234.6,16.0000,16.0000,16.0000,16.0000
453,1236.8,16.0000,16.0000,16.0000,16.0000
454,1239.0,16.0000,16.0000,15.9519,16.6269
455,1241.2,16.0000,16.0000,15.9802,16.2577
456,1243.4,16.0000,16.0000,16.0000,16.0000
457,1245.6,16.0000,16.0000,16.0000,16.0000
458,1247.8,16.0000,16.0000,16.0000,16.0000
459,1250.0,16.0000,16.0000,16.0000,16.0000
460,1252.2,16.0000,16.0000,15.9917,16.1077
461,1254.4,16.0000,16.0000,15.9908,16.1192
462,1256.6,16.0000,16.0400,16.0431,16.0000
463,1258.8,16.0000,16.1133,16.1220,16.0000
464,1261.0,16.0000,16.0133,16.0129,16.0192
465,1263.2,16.0000,16.0000,16.0000,16.0000
466,1265.4,16.0000,16.0000,15.9994,16.0077
467,1267.6,16.0000,16.1600,16.1162,16.7308
468,1269.8,16.0000,16.0000,15.9905,16.1231
469,1272.0,16.0000,16.0000,15.9997,16.0038
470,1274.2,16.0000,16.0000,15.9979,16.0269
471,1276.4,16.0000,16.0000,16.0000,16.0000
472,1278.6,16.0000,16.0000,15.9932,16.0885
473,1280.8,16.0000,16.0000,15.9882,16.1538
474,1283.0,16.0000,16.0000,16.0000,16.0000
475,1285.2,16.0000,16.0000,16.0000,16.0000
476,1287.4,16.0000,16.0000,15.9923,16.1000
477,1289.6,16.0000,16.0000,16.0000,16.0000
478,1291.8,16.0000,16.0000,15.9717,16.3692
479,1294.0,16.0000,16.0000,15.9914,16.1115
