PIXEL,WAVELENGTH,BG,GRAY,GRAY/WHITE,WHITE,LEAF,WHITE-BG,LEAF-BG,(LEAF-BG)/(WHITE-BG)
170,614.2,16.0000,31.533333333333,0.4438,51.0008,16,35.0008,0,0.000000
171,616.4,16.0000,37.546666666667,0.4442,64.5067,16,48.5067,0,0.000000
172,618.6,16.0000,42.393333333333,0.4447,75.3509,16,59.3509,0,0.000000
173,620.8,16.0000,44.7,0.4452,80.4654,16,64.4654,0,0.000000
174,623,16.0000,42.68,0.4458,75.8475,16,59.8475,0,0.000000
175,625.2,16.0000,35.9,0.4465,60.5689,16,44.5689,0,0.000000
176,627.4,16.0000,29.26,0.4472,45.6512,16,29.6512,0,0.000000
177,629.6,16.0000,24.506666666667,0.4478,34.9966,16,18.9966,0,0.000000
178,631.8,16.0000,21.24,0.4485,27.6834,16,11.6834,0,0.000000
179,634,16.0000,20.473333333333,0.4492,25.9584,16,9.9584,0,0.000000
180,636.2,16.0000,19.753333333333,0.4499,24.3426,16,8.3426,0,0.000000
181,638.4,16.0000,20.506666666667,0.4506,26.0015,16,10.0015,0,0.000000
182,640.6,16.0000,25.3,0.4514,36.6026,16,20.6026,0,0.000000
183,642.8,16.0000,40.373333333333,0.4522,69.8995,16,53.8995,0,0.000000
184,645,16.0000,74.5,0.4532,145.0821,16,129.0821,0,0.000000
185,647.2,16.0000,88.306666666667,0.4543,175.1606,16,159.1606,0,0.000000
186,649.4,16.0000,66.246666666667,0.4556,126.2868,16,110.2868,0,0.000000
187,651.6,16.0000,47.7,0.4571,85.3503,16,69.3503,0,0.000000
188,653.8,16.0000,39.006666666667,0.4588,66.1453,16,50.1453,0,0.000000
189,656,16.0000,35.486666666667,0.4607,58.2980,16,42.298,0,0.000000
190,658.2,16.0000,30.726666666667,0.4629,47.8139,16,31.8139,0,0.000000
191,660.4,16.0000,26.52,0.4653,38.6091,16,22.6091,0,0.000000
192,662.6,16.0000,24.086666666667,0.4679,33.2829,16,17.2829,0,0.000000
193,664.8,16.0000,23.626666666667,0.4706,32.2063,16,16.2063,0,0.000000
194,667,16.0000,21.44,0.4737,27.4841,16,11.4841,0,0.000000
195,669.2,16.0000,17.54,0.4770,19.2285,16,3.2285,0,0.000000
196,671.4,16.0000,16,0.4808,16.0000,16,0,0,0.000000
197,673.6,16.0000,16,0.4848,16.0000,16,0,0,0.000000
198,675.8,16.0000,16,0.4889,16.0000,16,0,0,0.000000
199,678,16.0000,16,0.4932,16.0000,16,0,0,0.000000
200,680.2,16.0000,16,0.4979,16.0000,16,0,0,0.000000
201,682.4,16.0000,16.013333333333,0.5027,16.0265,16,0.0265,0,0.000000
202,684.6,16.0000,16.033333333333,0.5077,16.0657,16,0.0657,0,0.000000
